week_ending,actual,predicted,fold,train_size
2025-01-05,4,11.560302688906354,1,126
2025-01-12,5,10.88416588187416,2,127
2025-01-19,2,9.13538308730876,3,128
2025-01-26,89,55.80907280195227,4,129
2025-02-02,34,91.33031607308207,5,130
2025-02-09,230,214.0872450495066,6,131
2025-02-16,313,268.3184529929572,7,132
2025-02-23,248,224.59082633322677,8,133
2025-03-02,131,93.55427450580106,9,134
2025-03-09,38,46.14627049537828,10,135
2025-03-16,46,42.910121665043334,11,136
2025-03-23,36,34.05765804402183,12,137
2025-03-30,18,22.548096301488236,13,138
2025-04-06,15,18.09532903046017,14,139
2025-04-13,21,22.096749919790845,15,140
2025-04-20,0,6.082606099988205,16,141
2025-04-27,7,6.5388352865223,17,142
2025-05-04,7,7.921456828696016,18,143
2025-05-11,0,-0.5260476400809466,19,144
2025-05-18,8,7.926733876327887,20,145
2025-05-25,8,6.82089859963525,21,146
2025-06-01,2,1.5858695127560978,22,147
2025-06-08,3,3.3484837830705985,23,148
2025-06-15,13,10.691140475191588,24,149
2025-06-22,2,1.4756492139250597,25,150
2025-06-29,0,-0.4249624463356838,26,151
2025-07-06,2,1.5793631962385533,27,152
2025-07-13,2,2.6250672041911685,28,153
2025-07-20,0,1.6145648983094958,29,154
2025-07-27,10,12.185065548556167,30,155
2025-08-03,33,31.97748322276183,31,156
2025-08-10,1,10.320440953579116,32,157
2025-08-17,40,30.765766567830497,33,158
2025-08-24,22,24.194917670116602,34,159
2025-08-31,60,53.98220592197112,35,160
2025-09-07,288,326.6162171554388,36,161
2025-09-14,597,526.4985091383882,37,162
2025-09-21,356,309.5791734300276,38,163
2025-09-28,157,187.10928713763167,39,164
2025-10-05,99,117.2644922321969,40,165
2025-10-12,57,62.86618878388783,41,166
2025-10-19,66,55.747026206315,42,167
2025-10-26,35,38.3092286843123,43,168
2025-11-02,37,36.38115088749224,44,169
2025-11-09,26,28.024506510489232,45,170
2025-11-16,60,50.28376877191188,46,171
2025-11-23,13,27.638189093945655,47,172
2025-11-30,20,19.237196819033095,48,173
2025-12-07,7,10.755479597407145,49,174
